n,has_partitions,p,q,j,k
3229,True,2,1181,11,1
3229,True,2,3221,3,1
3217,True,2,3209,3,1
3217,True,2,3089,7,1
3251,True,2,3187,6,1
3253,True,2,3221,5,1
3253,True,2,5,7,5
3253,True,2,3251,1,1
3253,True,2,2741,9,1
3257,True,2,3001,8,1
3257,True,2,3253,2,1
3271,True,2,1223,11,1
3259,True,2,3257,1,1
3259,True,2,3251,3,1
3299,False,,,,
3307,True,2,3299,3,1
3307,True,2,1259,11,1
3301,True,2,2789,9,1
3301,True,2,3299,1,1
3319,True,2,3191,7,1
3313,True,2,2801,9,1
3323,True,2,3259,6,1
3323,True,2,3319,2,1
3323,True,2,3067,8,1
3323,True,2,3307,4,1
3329,True,2,3313,4,1
3347,True,2,3343,2,1
3347,True,2,3331,4,1
3331,True,2,1283,11,1
3331,True,2,2819,9,1
3331,True,2,3329,1,1
3331,True,2,3299,5,1
3331,True,2,3203,7,1
3331,True,2,3323,3,1
3343,False,,,,
3361,True,2,3329,5,1
3361,True,2,3359,1,1
3359,True,2,3343,4,1
3371,True,2,3307,6,1
3371,True,2,2347,10,1
3373,True,2,3371,1,1
3373,True,2,2861,9,1
3389,True,2,3373,4,1
3407,True,2,3391,4,1
3407,True,2,3343,6,1
3407,True,2,2383,10,1
3433,False,,,,
3391,True,2,3389,1,1
3391,True,2,3359,5,1
3391,True,2,2879,9,1
3413,True,2,2389,10,1
3449,True,2,3433,4,1
3457,True,2,3449,3,1
3457,True,2,1409,11,1
3457,True,2,3329,7,1
3461,True,2,2437,10,1
3461,True,2,3457,2,1
3463,True,2,3461,1,1
3469,True,2,3467,1,1
3469,True,2,2957,9,1
3469,True,2,3461,3,1
3467,True,2,3463,2,1
3491,True,2,2467,10,1
3499,True,2,3467,5,1
3499,True,2,3371,7,1
3499,True,2,3491,3,1
3499,True,2,1451,11,1
3511,True,2,2999,9,1
3517,True,2,3389,7,1
3529,True,2,1481,11,1
3529,True,2,3527,1,1
3527,True,2,3271,8,1
3527,True,2,3463,6,1
3527,True,2,3511,4,1
3527,True,2,2503,10,1
3533,True,2,3529,2,1
3533,True,2,3517,4,1
3533,True,2,3469,6,1
3539,False,,,,
3541,True,2,1493,11,1
3541,True,2,3533,3,1
3541,True,2,3539,1,1
3541,True,2,3413,7,1
3547,True,2,3539,3,1
3547,True,2,1499,11,1
3571,True,2,3539,5,1
3571,True,2,1523,11,1
3557,True,2,3301,8,1
3557,True,2,3541,4,1
3559,True,2,3527,5,1
3559,True,2,3557,1,1
3559,True,2,1511,11,1
3581,True,2,3517,6,1
3581,True,2,2557,10,1
3593,True,2,3529,6,1
3613,True,2,3581,5,1
3583,True,2,3581,1,1
3607,True,2,1559,11,1
3623,True,2,3607,4,1
3623,True,2,3559,6,1
3617,True,2,3361,8,1
3617,True,2,3613,2,1
3617,True,2,2593,10,1
3637,True,2,5,9,5
3643,False,,,,
3659,True,2,3643,4,1
3631,True,2,3119,9,1
3631,True,2,3623,3,1
3631,True,2,1583,11,1
3671,True,2,3607,6,1
3671,True,2,2647,10,1
3673,True,2,3671,1,1
3697,False,,,,
3677,True,2,3613,6,1
3677,True,2,3673,2,1
3701,True,2,2677,10,1
3701,True,2,3697,2,1
3701,True,2,3637,6,1
3691,True,2,3659,5,1
3709,True,2,3701,3,1
3709,True,2,3581,7,1
