n,has_partitions,p,q,j,k
1997,True,2,1993,2,1
1997,True,2,1933,6,1
1999,True,2,1997,1,1
1999,True,2,1487,9,1
1999,True,2,1871,7,1
2011,True,2,1979,5,1
2011,True,2,1499,9,1
2011,True,2,2003,3,1
2003,True,2,1999,2,1
2003,True,2,1987,4,1
2003,True,2,1747,8,1
2017,True,2,1889,7,1
2029,True,2,1901,7,1
2029,True,2,1997,5,1
2029,True,2,2027,1,1
2027,True,2,2011,4,1
2053,True,2,5,11,1
2063,True,2,1999,6,1
2063,True,2,1039,10,1
2039,True,2,1783,8,1
2069,True,2,2053,4,1
2081,True,2,2017,6,1
2083,True,2,1571,9,1
2083,True,2,2081,1,1
2087,True,2,1063,10,1
2087,True,2,1831,8,1
2087,True,2,2083,2,1
2089,True,2,41,11,1
2089,True,2,2081,3,1
2089,True,2,2087,1,1
2099,True,2,2083,4,1
2111,True,2,1087,10,1
2137,True,2,2129,3,1
2137,True,2,89,11,1
2131,True,2,83,11,1
2131,True,2,2129,1,1
2131,True,2,1619,9,1
2131,True,2,2099,5,1
2131,True,2,2003,7,1
2113,True,2,2111,1,1
2113,True,2,1601,9,1
2113,True,2,2081,5,1
2129,True,2,1873,8,1
2129,True,2,3,11,4
2129,True,2,2113,4,1
2153,True,2,2137,4,1
2153,True,2,2089,6,1
2153,True,2,1129,10,1
2143,True,2,2111,5,1
2143,True,2,2141,1,1
2161,True,2,113,11,1
2161,True,2,2129,5,1
2161,True,2,2153,3,1
2141,True,2,2137,2,1
2141,True,2,1117,10,1
2179,True,2,1667,9,1
2179,True,2,131,11,1
2203,True,2,3,4,7
2213,True,2,47,2,2
2213,True,2,13,4,3
2237,True,2,1213,10,1
2237,True,2,2221,4,1
2221,True,2,2213,3,1
2221,True,2,173,11,1
2221,True,2,1709,9,1
2207,True,2,2203,2,1
2207,True,2,2143,6,1
2207,True,2,1951,8,1
2239,True,2,2237,1,1
2239,True,2,2111,7,1
2239,True,2,2207,5,1
2239,True,2,191,11,1
2243,True,2,2179,6,1
2243,True,2,2239,2,1
2243,True,2,1987,8,1
2269,True,2,2141,7,1
2269,True,2,2237,5,1
2269,True,2,2267,1,1
2267,True,2,2011,8,1
2267,True,2,2251,4,1
2267,True,2,2203,6,1
2251,True,2,3,6,7
2251,True,2,2243,3,1
2281,True,2,2273,3,1
2281,True,2,233,11,1
2281,True,2,2153,7,1
2273,True,2,2017,8,1
2273,True,2,2269,2,1
2273,True,2,47,6,2
2273,True,2,1249,10,1
2297,True,2,2281,4,1
2297,True,2,2293,2,1
2309,True,2,2293,4,1
2309,True,2,2053,8,1
2287,True,2,239,11,1
2293,False,,,,
2311,True,2,2309,1,1
2311,True,2,263,11,1
2333,True,2,2269,6,1
2341,True,2,293,11,1
2341,True,2,2309,5,1
2341,True,2,2213,7,1
2341,True,2,2333,3,1
2341,True,2,2339,1,1
2339,True,2,2083,8,1
2351,True,2,1327,10,1
2351,True,2,2347,2,1
2351,True,2,2287,6,1
2347,True,2,2339,3,1
2357,True,2,2341,4,1
2357,True,2,2293,6,1
2377,False,,,,
2381,True,2,2377,2,1
2371,True,2,2243,7,1
2371,True,2,2339,5,1
2383,True,2,2381,1,1
2383,True,2,2351,5,1
2383,True,2,1871,9,1
2389,True,2,2357,5,1
2389,True,2,1877,9,1
2389,True,2,2381,3,1
2393,True,2,2137,8,1
2393,True,2,37,10,2
