n,has_partitions,p,q,j,k
1061,True,2.0,37.0,10.0,1.0
1063,True,2.0,1031.0,5.0,1.0
1063,True,2.0,1061.0,1.0,1.0
1069,True,2.0,941.0,7.0,1.0
1069,True,2.0,557.0,9.0,1.0
1069,True,2.0,1061.0,3.0,1.0
1087,False,,,,
1091,True,2.0,1087.0,2.0,1.0
1091,True,2.0,67.0,10.0,1.0
1093,True,2.0,1061.0,5.0,1.0
1093,True,2.0,1091.0,1.0,1.0
1097,True,2.0,29.0,8.0,2.0
1097,True,2.0,73.0,10.0,1.0
1097,True,2.0,1093.0,2.0,1.0
1097,True,2.0,1033.0,6.0,1.0
1103,True,2.0,1087.0,4.0,1.0
1103,True,2.0,79.0,10.0,1.0
1103,True,2.0,1039.0,6.0,1.0
1109,True,2.0,1093.0,4.0,1.0
1109,True,2.0,853.0,8.0,1.0
1117,True,2.0,1109.0,3.0,1.0
1123,True,2.0,1091.0,5.0,1.0
1129,True,2.0,617.0,9.0,1.0
1129,True,2.0,1097.0,5.0,1.0
1151,True,2.0,127.0,10.0,1.0
1151,True,2.0,1087.0,6.0,1.0
1153,True,2.0,1151.0,1.0,1.0
1153,True,2.0,641.0,9.0,1.0
1163,True,2.0,139.0,10.0,1.0
1163,True,2.0,907.0,8.0,1.0
1171,True,2.0,659.0,9.0,1.0
1171,True,2.0,1163.0,3.0,1.0
1181,True,2.0,157.0,10.0,1.0
1181,True,2.0,1117.0,6.0,1.0
1187,True,2.0,1171.0,4.0,1.0
1187,True,2.0,163.0,10.0,1.0
1187,True,2.0,1123.0,6.0,1.0
1193,True,2.0,937.0,8.0,1.0
1193,True,2.0,13.0,10.0,2.0
1193,True,2.0,1129.0,6.0,1.0
1201,True,2.0,1193.0,3.0,1.0
1213,True,2.0,701.0,9.0,1.0
1213,True,2.0,1181.0,5.0,1.0
1217,True,2.0,1153.0,6.0,1.0
1217,True,2.0,31.0,8.0,2.0
1217,True,2.0,1213.0,2.0,1.0
1217,True,2.0,193.0,10.0,1.0
1217,True,2.0,1201.0,4.0,1.0
1223,True,2.0,967.0,8.0,1.0
1223,True,2.0,199.0,10.0,1.0
1229,True,2.0,1213.0,4.0,1.0
1231,True,2.0,1223.0,3.0,1.0
1231,True,2.0,1103.0,7.0,1.0
1231,True,2.0,719.0,9.0,1.0
1231,True,2.0,1229.0,1.0,1.0
1237,True,2.0,1109.0,7.0,1.0
1237,True,2.0,1229.0,3.0,1.0
1249,True,2.0,1217.0,5.0,1.0
1259,False,,,,
1277,True,2.0,1021.0,8.0,1.0
1277,True,2.0,1213.0,6.0,1.0
1279,True,2.0,1151.0,7.0,1.0
1279,True,2.0,1277.0,1.0,1.0
1283,True,2.0,1279.0,2.0,1.0
1289,True,2.0,1033.0,8.0,1.0
1291,True,2.0,1259.0,5.0,1.0
1291,True,2.0,1163.0,7.0,1.0
1291,True,2.0,1283.0,3.0,1.0
1291,True,2.0,1289.0,1.0,1.0
1297,True,2.0,1289.0,3.0,1.0
1301,True,2.0,1297.0,2.0,1.0
1301,True,2.0,277.0,10.0,1.0
1301,True,2.0,1237.0,6.0,1.0
1303,True,2.0,1301.0,1.0,1.0
1307,True,2.0,1303.0,2.0,1.0
1307,True,2.0,1051.0,8.0,1.0
1307,True,2.0,1291.0,4.0,1.0
1307,True,2.0,283.0,10.0,1.0
1319,True,2.0,1063.0,8.0,1.0
1319,True,2.0,1303.0,4.0,1.0
1321,True,2.0,1319.0,1.0,1.0
1321,True,2.0,1193.0,7.0,1.0
1321,True,2.0,1289.0,5.0,1.0
1321,True,2.0,809.0,9.0,1.0
1327,True,2.0,1319.0,3.0,1.0
1361,True,2.0,337.0,10.0,1.0
1361,True,2.0,1297.0,6.0,1.0
1367,True,2.0,7.0,10.0,3.0
1367,True,2.0,1303.0,6.0,1.0
1373,True,2.0,349.0,10.0,1.0
1373,True,2.0,1117.0,8.0,1.0
1373,True,2.0,37.0,2.0,2.0
1381,True,2.0,1373.0,3.0,1.0
1399,True,2.0,1367.0,5.0,1.0
1399,True,2.0,887.0,9.0,1.0
1409,True,2.0,1153.0,8.0,1.0
1423,True,2.0,911.0,9.0,1.0
1427,True,2.0,1423.0,2.0,1.0
1427,True,2.0,1171.0,8.0,1.0
1429,True,2.0,1301.0,7.0,1.0
1429,True,2.0,1427.0,1.0,1.0
1433,True,2.0,409.0,10.0,1.0
1433,True,2.0,1429.0,2.0,1.0
1433,True,2.0,37.0,6.0,2.0
1439,True,2.0,1423.0,4.0,1.0
1447,True,2.0,1439.0,3.0,1.0
1447,True,2.0,1319.0,7.0,1.0
1451,True,2.0,1447.0,2.0,1.0
1453,True,2.0,1451.0,1.0,1.0
1453,True,2.0,941.0,9.0,1.0
1459,True,2.0,1451.0,3.0,1.0
1459,True,2.0,1427.0,5.0,1.0
1459,True,2.0,11.0,7.0,3.0
1459,True,2.0,947.0,9.0,1.0
1471,True,2.0,1439.0,5.0,1.0
1481,True,2.0,457.0,10.0,1.0
1483,True,2.0,1451.0,5.0,1.0
1483,True,2.0,1481.0,1.0,1.0
1483,True,2.0,971.0,9.0,1.0
1487,True,2.0,1471.0,4.0,1.0
1487,True,2.0,1423.0,6.0,1.0
1487,True,2.0,463.0,10.0,1.0
1487,True,2.0,1483.0,2.0,1.0
1487,True,2.0,1231.0,8.0,1.0
1489,True,2.0,1481.0,3.0,1.0
1489,True,2.0,1361.0,7.0,1.0
